City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kununurra,-15.7667,128.7333,24.99,83,99,2.06,AU,1701887902
83,manali,13.1667,80.2667,28.05,87,12,3.13,IN,1701888293
84,pudozh,61.8099,36.5345,-15.59,99,94,1.34,RU,1701888293
85,novodvinsk,64.4165,40.8122,-21.81,96,25,1.63,RU,1701888293
86,durban,-29.8579,31.0292,19.51,87,100,4.81,ZA,1701888293
87,atafu village,-8.5421,-172.5159,29.01,76,98,4.07,TK,1701888058
88,cidreira,-30.1811,-50.2056,24.88,86,33,3.91,BR,1701888107
89,bredasdorp,-34.5322,20.0403,17.71,86,20,6.57,ZA,1701887922
90,burang,30.25,81.1667,-13.51,54,0,1.81,CN,1701888098
91,canyon,34.9803,-101.9188,19.15,28,23,7.6,US,1701888294
92,bilibino,68.0546,166.4372,-30.94,99,100,1.89,RU,1701888065
93,edinburgh of the seven seas,-37.0676,-12.3116,14.42,75,10,8.46,SH,1701887915
94,viedma,-40.8135,-62.9967,26.4,35,100,7.21,AR,1701888294
95,port elizabeth,-33.918,25.5701,20.61,88,100,9.26,ZA,1701888071
96,ballina,-28.8667,153.5667,20.34,90,13,1.62,AU,1701888106
97,torghay,49.6339,63.4981,-7.97,65,6,4.53,KZ,1701888294
98,leava,-14.3,-178.1667,28.35,67,100,5.17,WF,1701888095
99,polyarnyy,69.1989,33.4478,-15.47,97,92,4.19,RU,1701888295
100,vila franca do campo,37.7167,-25.4333,20.23,99,100,7.7,PT,1701888102
101,abepura,-2.6333,140.5833,22.45,100,40,1.03,ID,1701888295
102,katsuura,35.1333,140.3,14.85,72,100,6.66,JP,1701888075
103,lorengau,-2.0226,147.2712,27.99,82,100,5.02,PG,1701888295
104,badger,64.8,-147.5333,-15.01,85,100,0.0,US,1701888069
105,nova sintra,14.8667,-24.7167,21.77,72,100,6.24,CV,1701888085
106,inda silase,14.1031,38.2829,18.03,41,11,2.75,ET,1701888296
107,puerto armuelles,8.2833,-82.8667,29.99,68,12,1.34,PA,1701888089
108,iqaluit,63.7506,-68.5145,-13.15,78,20,2.57,CA,1701887934
109,batangas,13.7594,121.06,25.59,91,68,2.49,PH,1701888296
110,hithadhoo,-0.6,73.0833,28.17,78,75,5.12,MV,1701888057
111,ceeldheer,3.8488,47.1806,26.33,66,23,8.37,SO,1701888296
112,papao,-17.75,-149.55,24.82,81,100,8.21,PF,1701888297
113,hawaiian paradise park,19.5933,-154.9731,22.24,97,100,2.57,US,1701887941
114,flying fish cove,-10.4217,105.6791,24.82,88,40,3.6,CX,1701888117
115,tripoli,32.8752,13.1875,18.01,42,100,1.06,LY,1701888297
116,cleveland,41.4995,-81.6954,4.57,74,100,6.17,US,1701888297
117,san angelo,31.4638,-100.437,21.17,54,0,3.6,US,1701888238
118,cobija,-11.0267,-68.7692,27.1,83,75,4.12,BO,1701888298
119,barmer,25.75,71.3833,18.93,41,0,4.2,IN,1701888298
120,port alfred,-33.5906,26.891,17.88,92,48,2.24,ZA,1701887913
121,nadym,65.5333,72.5167,-38.97,99,23,3.35,RU,1701888298
122,yuzhno-kurilsk,44.0306,145.8556,7.43,84,100,3.9,RU,1701888298
123,aykhal,66.0,111.5,-25.13,98,100,2.25,RU,1701888063
124,tazacorte,28.629,-17.9293,21.54,95,40,2.57,ES,1701888092
125,kapchorwa,1.3965,34.4509,17.53,68,55,1.67,UG,1701888298
126,lindi,-10.0,39.7167,25.92,91,7,1.0,TZ,1701888299
127,fort st. john,56.2499,-120.8529,1.94,64,20,6.69,CA,1701888299
128,settat,33.0007,-7.6204,15.9,93,59,0.91,MA,1701888299
129,west island,-12.1568,96.8225,26.99,83,75,3.6,CC,1701888059
130,bondowoso,-7.9135,113.8214,23.8,94,96,1.63,ID,1701888299
131,colonia,50.9333,6.95,4.98,87,40,3.09,DE,1701887874
132,lompoc,34.6391,-120.4579,21.68,71,0,4.12,US,1701888060
133,qaqortoq,60.7167,-46.0333,2.82,60,100,6.12,GL,1701887928
134,mount pearl,47.5166,-52.7813,-2.8,81,75,6.69,CA,1701888070
135,la'ie,21.6477,-157.9253,25.06,73,1,4.47,US,1701888116
136,zhalantun,48.0,122.7167,-14.92,69,90,5.92,CN,1701888300
137,nova vicosa,-17.8919,-39.3719,28.15,64,0,5.58,BR,1701888300
138,kapuskasing,49.4169,-82.4331,-6.95,79,100,4.63,CA,1701888300
139,aral,40.5156,81.2636,2.27,35,10,2.14,CN,1701888300
140,arraial do cabo,-22.9661,-42.0278,30.98,65,0,11.32,BR,1701887902
141,aasiaat,68.7098,-52.8699,-6.76,66,99,8.41,GL,1701888068
142,susuman,62.7833,148.1667,-49.45,99,68,0.45,RU,1701888082
143,loch garman,52.3342,-6.4575,9.51,100,100,4.92,IE,1701888301
144,cipo,-11.0997,-38.5136,33.38,32,72,7.16,BR,1701888301
145,sona,45.4388,10.8255,4.41,93,0,1.54,IT,1701888301
146,jumla,29.2747,82.1838,3.92,56,0,2.07,NP,1701888302
147,roxas,11.5853,122.7511,24.52,85,98,4.7,PH,1701888302
148,portage la prairie,49.9728,-98.2926,7.84,58,75,4.63,CA,1701888212
149,mwingi,-0.9344,38.0601,20.0,81,100,0.16,KE,1701888303
150,bikenibeu village,1.3673,173.1241,26.98,94,100,4.63,KI,1701888130
151,talnakh,69.4865,88.3972,-29.89,98,100,4.05,RU,1701888119
152,al jawf,29.5,38.75,18.0,57,5,3.01,SA,1701888304
153,pemangkat,1.1667,108.9667,27.08,80,99,2.68,ID,1701888304
154,chillicothe,39.3331,-82.9824,6.15,66,100,4.92,US,1701888304
155,sovetskiy,61.3614,63.5842,-31.73,95,68,3.13,RU,1701888305
156,selkirk,50.1436,-96.8845,5.6,76,100,2.24,CA,1701887823
157,afaahiti,-17.75,-149.2833,23.93,81,100,8.42,PF,1701888078
158,hamilton,39.1834,-84.5333,6.69,69,20,4.12,US,1701888306
159,nantucket,41.2835,-70.0995,3.08,73,100,9.26,US,1701888044
160,shache,38.4167,77.2406,5.95,35,0,1.01,CN,1701888306
161,arkhangel'sk,64.5401,40.5433,-20.94,76,40,3.0,RU,1701888080
162,lebu,-37.6167,-73.65,16.3,76,3,6.08,CL,1701888072
163,songjiang,31.036,121.2146,8.92,37,0,1.71,CN,1701888301
164,maasmechelen,50.9654,5.6945,4.72,92,9,2.68,BE,1701888307
165,porto novo,6.4965,2.6036,26.9,73,100,3.22,BJ,1701888307
166,hermanus,-34.4187,19.2345,18.93,79,0,5.58,ZA,1701888058
167,zapala,-38.8992,-70.0544,24.9,19,97,3.31,AR,1701888307
168,vadso,70.0744,29.7487,-9.91,85,75,3.6,NO,1701888308
169,uitenhage,-33.7576,25.3971,20.23,83,48,5.95,ZA,1701888308
170,kerikeri,-35.2268,173.9474,15.51,91,17,2.77,NZ,1701888069
171,saudarkrokur,65.7461,-19.6394,-6.04,58,9,3.33,IS,1701888106
172,ishigaki,24.3448,124.1572,19.07,77,100,5.14,JP,1701888309
173,anadyr,64.75,177.4833,-20.56,76,100,13.0,RU,1701888068
174,igarka,67.4667,86.5833,-27.56,89,100,5.29,RU,1701888309
175,bamboo flat,11.7,92.7167,25.05,94,100,1.03,IN,1701888124
176,vesoul,47.5833,5.8333,4.45,91,79,0.92,FR,1701888104
177,qarazhal,48.0078,70.7903,-6.35,62,100,5.26,KZ,1701888310
178,haiku-pauwela,20.9219,-156.3051,26.95,80,40,7.72,US,1701888104
179,okha,53.5739,142.9478,-2.94,97,100,3.71,RU,1701888310
180,utrik,11.2278,169.8474,27.19,77,92,10.52,MH,1701888127
181,tarinkot,32.6268,65.8733,8.73,30,0,0.64,AF,1701888312
182,sault ste. marie,46.5168,-84.3333,-1.69,80,100,2.06,CA,1701888269
183,chui,-33.6971,-53.4616,19.45,96,100,4.53,UY,1701888112
184,fort bragg,35.139,-79.006,12.03,56,75,7.2,US,1701888067
185,dunedin,-45.8742,170.5036,15.45,44,92,3.58,NZ,1701887879
186,chegdomyn,51.1167,133.0167,-10.37,95,100,2.4,RU,1701888109
187,richards bay,-28.783,32.0377,20.22,84,100,1.89,ZA,1701888068
188,ichinoseki,38.9167,141.1333,5.95,92,100,0.61,JP,1701888313
189,puerto santa,-8.9906,-78.6456,21.88,77,100,5.37,PE,1701888128
190,ugoofaaru,5.6667,73.0,28.15,76,100,2.53,MV,1701888313
191,santa ana,33.7456,-117.8678,25.04,50,20,2.57,US,1701888172
192,salalah,17.0151,54.0924,25.05,61,0,2.06,OM,1701888314
193,alaghsas,17.0187,8.0168,25.94,11,0,4.12,NE,1701888314
194,udachny,66.4167,112.4,-24.92,99,100,1.48,RU,1701888075
195,zakopane,49.299,19.9489,-1.04,98,100,0.63,PL,1701888315
196,krasnoslobodsk,48.7072,44.5714,-3.1,80,0,10.0,RU,1701888072
197,sao joao da barra,-21.6403,-41.0511,30.05,81,0,7.26,BR,1701887955
198,port lincoln,-34.7333,135.8667,16.3,75,100,5.83,AU,1701888059
199,lagdo,9.05,13.7333,28.78,15,32,1.94,CM,1701888315
200,ixtapa,20.7,-105.2,28.57,61,75,0.0,MX,1701888073
201,lihue,21.9789,-159.3672,25.2,77,40,5.66,US,1701887955
202,auki,-8.7676,160.7034,24.6,89,100,3.71,SB,1701888316
203,cartagena,10.3997,-75.5144,36.79,44,20,3.09,CO,1701888205
204,shenjiamen,29.9576,122.298,12.12,61,0,2.01,CN,1701888316
205,ta`u,-14.2336,-169.5144,26.71,85,83,5.52,AS,1701888316
206,salekhard,66.53,66.6019,-36.53,100,48,0.55,RU,1701888317
207,keflavik,64.0049,-22.5624,1.24,64,0,10.8,IS,1701888094
208,porto velho,-8.7619,-63.9039,32.03,55,40,1.03,BR,1701888147
209,turochak,52.2576,87.1224,-6.69,88,100,6.52,RU,1701888318
210,spring creek,40.7266,-115.5859,7.94,37,10,2.22,US,1701888318
211,taoudenni,22.6783,-3.9836,22.59,11,100,0.73,ML,1701888318
212,bodaybo,57.8506,114.1933,-39.5,100,100,0.52,RU,1701888318
213,carnarvon,-24.8667,113.6333,22.77,75,0,10.0,AU,1701888084
214,albemarle,35.3501,-80.2001,12.69,35,40,6.17,US,1701888319
215,montevideo,-34.8335,-56.1674,22.01,88,100,5.66,UY,1701888101
216,drebkau,51.65,14.2167,4.06,92,100,2.48,DE,1701888319
217,rawson,-43.3002,-65.1023,16.98,49,3,5.9,AR,1701888319
218,argo,37.6333,22.7333,14.32,70,100,1.96,GR,1701888320
219,vila velha,-20.3297,-40.2925,29.97,74,20,8.75,BR,1701888072
220,sines,37.9562,-8.8698,14.05,83,99,0.77,PT,1701888320
221,sychevka,55.8252,34.2736,-19.11,100,100,1.5,RU,1701888320
222,kapa'a,22.0752,-159.319,25.61,82,40,5.66,US,1701888075
223,ottawa,45.4112,-75.6981,-7.79,77,75,3.6,CA,1701888193
224,nizhneangarsk,55.7833,109.55,-23.89,79,13,3.58,RU,1701888321
225,pacific grove,36.6177,-121.9166,14.25,93,100,4.63,US,1701888139
226,bodo,67.28,14.405,-2.35,77,100,11.83,NO,1701888321
227,alegrete,-29.7831,-55.7919,29.43,71,19,7.49,BR,1701888322
228,island harbour,50.724,-1.2758,9.02,85,100,3.13,GB,1701888089
229,forbes,-33.3833,148.0167,21.07,34,29,2.35,AU,1701888322
230,cockburn town,21.4612,-71.1419,26.8,71,0,2.68,TC,1701888105
231,tonekabon,36.8163,50.8738,14.97,74,100,2.91,IR,1701888323
232,germantown,39.1732,-77.2717,6.4,63,100,4.63,US,1701888283
233,kasongo-lunda,-6.4667,16.8167,22.43,83,65,0.28,CD,1701888323
234,altai,46.3722,96.2583,-1.51,57,56,10.99,MN,1701888323
235,thompson,55.7435,-97.8558,-3.91,100,100,4.63,CA,1701887837
236,antofagasta,-23.65,-70.4,19.6,68,9,5.68,CL,1701888098
237,vorkuta,67.5,64.0,-29.74,100,13,0.89,RU,1701888102
238,mudurnu,40.473,31.2076,9.04,82,100,1.35,TR,1701888324
239,tabuk,17.4189,121.4443,22.67,97,96,1.65,PH,1701888325
240,poxoreo,-15.8372,-54.3892,38.16,23,81,1.61,BR,1701888325
241,san luis de la loma,17.2706,-100.8939,29.47,62,100,1.47,MX,1701887957
242,kavaratti,10.5669,72.642,27.96,68,85,1.56,IN,1701888325
243,boca do acre,-8.7522,-67.3978,26.83,80,99,0.54,BR,1701888121
244,ulladulla,-35.35,150.4667,15.43,89,100,2.18,AU,1701888326
245,ar rutbah,33.0381,40.2848,15.04,60,0,1.16,IQ,1701888326
246,pangody,65.85,74.4859,-37.47,99,14,3.11,RU,1701888326
247,trapani,37.8333,12.6667,12.05,62,40,3.09,IT,1701888326
248,songea,-10.6833,35.65,19.92,92,100,1.67,TZ,1701888326
