,date,Operating cash flow,ticker,capex,Operating cash flow to capex
128,2012,693000000,AVGO,-241000000,34.77633477633478
129,2011,726000000,AVGO,-112000000,15.426997245179063
130,2010,510000000,AVGO,-79000000,15.490196078431373
131,2009,139000000,AVGO,-58000000,41.726618705035975
132,2023,17165000000,ORCL,-8695000000,50.65540343722692
133,2022,9539000000,ORCL,-4511000000,47.290072334626274
134,2021,15887000000,ORCL,-2135000000,13.438660540064204
135,2020,13139000000,ORCL,-1564000000,11.90349341654616
136,2019,14551000000,ORCL,-1660000000,11.408150642567522
137,2018,15386000000,ORCL,-1736000000,11.282984531392175
138,2017,14126000000,ORCL,-2021000000,14.306951720232197
139,2016,13561000000,ORCL,-1189000000,8.767789985989234
140,2015,14336000000,ORCL,-1391000000,9.702845982142858
141,2014,14921000000,ORCL,-580000000,3.8871389317069904
142,2013,14224000000,ORCL,-650000000,4.569741282339708
143,2012,13743000000,ORCL,-648000000,4.715127701375246
144,2011,11214000000,ORCL,-450000000,4.012841091492777
145,2010,8681000000,ORCL,-230000000,2.6494643474254116
146,2009,8255000000,ORCL,-529000000,6.408237431859479
147,2008,7402000000,ORCL,-243000000,3.282896514455553
158,2022,9103361576.3115,ASML,-1415146454.2145,15.54531743413282
159,2021,12267464152.7774,ASML,-1063554236.9264,8.669715465894452
160,2020,5687227089.5364,ASML,-1229963019.9689,21.626761172098046
161,2019,3671846895.1054,ASML,-992824186.4162,27.03882309852413
162,2018,3512026407.4768,ASML,-696644675.8086,19.835974875516417
163,2017,2147838446.9846,ASML,-427513712.8992,19.904370065606955
164,2016,1759512089.6735,ASML,-342967901.42,19.492216247496323
165,2015,2210778779.4,ASML,-406970235.54,18.40845584968256
166,2014,1247214359.3,ASML,-439456789.6,35.23506495279973
167,2013,1450605298.38,ASML,-295583192.24,20.376541611291504
168,2022,7838000000,ADBE,-442000000,5.6391936718550655
169,2021,7230000000,ADBE,-348000000,4.813278008298756
170,2020,5727000000,ADBE,-419000000,7.316221407368604
171,2019,4421813000,ADBE,-394479000,8.921204944668624
172,2018,4029304000,ADBE,-266579000,6.616006139025499
173,2017,2912853000,ADBE,-178122000,6.115035671213068
174,2016,2199728000,ADBE,-203805000,9.26500912840133
175,2015,1469502000,ADBE,-184936000,12.584943742846216
176,2014,1287482000,ADBE,-148332000,11.521093110427952
177,2013,1151686000,ADBE,-188358000,16.35497870079171
178,2012,1499580000,ADBE,-271076000,18.076794835887384
179,2011,1543314000,ADBE,-275894000,17.876725021609342
180,2010,1112995000,ADBE,-169642000,15.241937295315791
181,2009,1117772000,ADBE,-119592000,10.69914079078739
182,2008,1280682000,ADBE,-111792000,8.729099026924716
183,2007,1439303000,ADBE,-132075000,9.176316592128273
184,2006,927239000,ADBE,-83250000,8.978267738954035
193,2023,7111000000,CRM,-798000000,11.222050344536633
194,2022,6000000000,CRM,-717000000,11.95
195,2021,4801000000,CRM,-710000000,14.788585711310143
196,2020,4331000000,CRM,-643000000,14.84645578388363
197,2019,3398000000,CRM,-595000000,17.510300176574457
198,2018,2737965000,CRM,-534027000,19.504522519462448
199,2017,2162198000,CRM,-463958000,21.457701838592026
200,2016,1612585000,CRM,-284476000,17.64099256783363
201,2015,1173714000,CRM,-290454000,24.746573696829042
202,2014,875469000,CRM,-299110000,34.16568719166527
203,2013,736897000,CRM,-179707000,24.386990312078893
204,2012,591507000,CRM,-171300000,28.959927777693252
