quintile,excess returns,close(%)
1,-0.4607410269830954,-0.4644712096216597
2,0.006212791630097655,0.002482608991533339
3,0.10288873580047124,0.09915855316190693
4,0.0932190090714088,0.08948882643284449
5,0.0064420003614478775,0.0027118177228835617
