Time,phase,Mag
2459630.7930324,1.22605,-0.474671
2459630.7940856,1.23218,-0.473246
2459630.7950926,1.23804,-0.488173
2459630.7960648,1.24370,-0.473264
2459630.9682523,1.24549,-0.499607
2459630.7971065,1.24976,-0.476264
2459630.9695255,1.25289,-0.496632
2459630.7981019,1.25555,-0.4756
2459630.9706713,1.25956,-0.489357
2459630.7991088,1.26141,-0.481464
2459630.9718171,1.26623,-0.504279
2459630.8000926,1.26713,-0.480692
2459630.972963,1.27289,-0.488995
2459630.8011921,1.27353,-0.487967
2459630.8022106,1.27945,-0.487102
2459630.974213,1.28017,-0.475968
2459630.803287,1.28572,-0.484162
2459630.9752894,1.28643,-0.504255
2459630.8042477,1.29130,-0.51687
2459630.9765394,1.29370,-0.50401
2459630.8053935,1.29797,-0.506862
2459630.9777894,1.30097,-0.489615
2459630.8064005,1.30383,-0.504534
2459630.9790394,1.30825,-0.500668
2459630.807419,1.30976,-0.494595
2459630.9803241,1.31572,-0.516708
2459630.8085301,1.31622,-0.513472
2459630.8096412,1.32268,-0.509746
2459630.9815741,1.32299,-0.506642
2459630.8106481,1.32854,-0.518529
2459630.9828241,1.33026,-0.503118
2459630.8116898,1.33460,-0.513978
2459630.9841088,1.33774,-0.483261
2459630.8126968,1.34046,-0.537221
2459630.9853588,1.34501,-0.533718
2459630.8137037,1.34632,-0.533393
2459630.9865046,1.35168,-0.532483
2459630.8146991,1.35211,-0.538536
2459630.815706,1.35797,-0.547963
2459630.9877546,1.35895,-0.553766
2459630.8167245,1.36390,-0.544871
2459630.9889005,1.36562,-0.548804
2459630.8177546,1.36989,-0.568556
2459630.9901505,1.37289,-0.58143
2459630.8187616,1.37575,-0.552954
2459630.9912963,1.37956,-0.571856
2459630.8197454,1.38147,-0.56819
2459630.9924769,1.38642,-0.603969
2459630.8207407,1.38726,-0.568756
2459630.9937616,1.39390,-0.59131
2459630.9951505,1.40198,-0.594525
2459630.824456,1.40888,-0.584159
2459630.8255324,1.41514,-0.636895
2459630.9975463,1.41592,-0.623573
2459630.8265394,1.42100,-0.592629
2459630.998831,1.42339,-0.636959
2459630.8275579,1.42692,-0.602107
2459631.000081,1.43067,-0.640441
2459630.8286227,1.43312,-0.595878
2459631.0012616,1.43753,-0.64157
2459630.8296412,1.43904,-0.604299
2459630.8306944,1.44517,-0.596776
2459631.0026852,1.44582,-0.663253
2459630.8317593,1.45137,-0.599564
2459631.0039352,1.45309,-0.666394
2459630.8328009,1.45743,-0.629568
2459630.8338542,1.46356,-0.600376
2459630.834919,1.46975,-0.600327
2459630.8359259,1.47561,-0.61036
2459630.8369907,1.48180,-0.610483
2459630.8380787,1.48813,-0.609077
2459630.8391435,1.49433,-0.617277
2459630.8401968,1.50046,-0.607824
2459630.8413194,1.50699,-0.600203
2459630.8423495,1.51298,-0.647965
2459630.8451273,1.52914,-0.602627
2459630.846169,1.53520,-0.568233
2459630.8471875,1.54113,-0.670712
2459630.8482639,1.54739,-0.614875
2459630.849294,1.55338,-0.587673
2459630.8503704,1.55965,-0.610366
2459630.8514468,1.56591,-0.588473
2459630.8525,1.57204,-0.58876
2459630.8535995,1.57843,-0.584764
2459630.8546412,1.58449,-0.655183
2459630.8557523,1.59096,-0.651122
2459630.8568634,1.59742,-0.604622
2459630.8579398,1.60369,-0.619452
2459630.8590278,1.61002,-0.608352
2459630.8600694,1.61608,-0.586651
2459630.8611227,1.62220,-0.601185
2459630.8622106,1.62853,-0.582894
2459630.8633218,1.63500,-0.577509
2459630.8644444,1.64153,-0.587027
2459630.8654745,1.64752,-0.623514
2459630.8665856,1.65399,-0.558721
2459630.8676968,1.66045,-0.552414
2459630.8687616,1.66665,-0.567142
2459630.8698495,1.67298,-0.624184
2459630.8708912,1.67904,-0.621022
2459630.8720255,1.68564,-0.623621
2459630.8731829,1.69237,-0.626708
2459630.8743634,1.69924,-0.585212
2459630.875544,1.70611,-0.614776
2459630.8766551,1.71257,-0.606662
2459630.8778356,1.71944,-0.614284
2459630.8791088,1.72685,-0.613578
2459630.8802315,1.73338,-0.63007
2459630.8814815,1.74065,-0.631967
2459630.8827431,1.74799,-0.617574
2459630.8840046,1.75533,-0.607627
2459630.8852431,1.76254,-0.581184
2459630.8865741,1.77028,-0.616348
2459630.8877083,1.77688,-0.610505
2459630.8988542,1.84173,-0.611201
2459630.9001505,1.84927,-0.618847
2459630.9013194,1.85607,-0.624092
2459630.902581,1.86341,-0.605707
2459630.9038426,1.87075,-0.580537
2459630.9048843,1.87681,-0.595896
2459630.9060301,1.88348,-0.622446
2459630.9070718,1.88954,-0.643143
2459630.9082176,1.89620,-0.64256
2459630.9093287,1.90267,-0.616218
2459630.910463,1.90927,-0.651177
2459630.9116204,1.91600,-0.640584
2459630.9127662,1.92267,-0.627496
2459630.9138426,1.92893,-0.626312
2459630.9149537,1.93539,-0.658257
2459630.9160995,1.94206,-0.670134
